ROI,Subject,Weight
LIFGorb,334_FED_20161221a_3T2_PL2017,1.000000
LIFGorb,479_FED_20161228d_3T2_PL2017,1.000000
LIFGorb,522_FED_20161228e_3T2_PL2017,1.000000
LIFGorb,516_FED_20161217a_3T2_PL2017,1.000000
LIFGorb,426_FED_20161215c_3T2_PL2017,1.000000
LIFG,334_FED_20161221a_3T2_PL2017,1.000000
LIFG,479_FED_20161228d_3T2_PL2017,1.000000
LIFG,522_FED_20161228e_3T2_PL2017,1.000000
LIFG,516_FED_20161217a_3T2_PL2017,1.000000
LIFG,426_FED_20161215c_3T2_PL2017,1.000000
LMFG,334_FED_20161221a_3T2_PL2017,1.000000
LMFG,479_FED_20161228d_3T2_PL2017,1.000000
LMFG,522_FED_20161228e_3T2_PL2017,1.000000
LMFG,516_FED_20161217a_3T2_PL2017,1.000000
LMFG,426_FED_20161215c_3T2_PL2017,1.000000
LAntTemp,334_FED_20161221a_3T2_PL2017,1.000000
LAntTemp,479_FED_20161228d_3T2_PL2017,1.000000
LAntTemp,522_FED_20161228e_3T2_PL2017,1.000000
LAntTemp,516_FED_20161217a_3T2_PL2017,1.000000
LAntTemp,426_FED_20161215c_3T2_PL2017,1.000000
LPostTemp,334_FED_20161221a_3T2_PL2017,1.000000
LPostTemp,479_FED_20161228d_3T2_PL2017,1.000000
LPostTemp,522_FED_20161228e_3T2_PL2017,1.000000
LPostTemp,516_FED_20161217a_3T2_PL2017,1.000000
LPostTemp,426_FED_20161215c_3T2_PL2017,1.000000
LAngG,334_FED_20161221a_3T2_PL2017,1.000000
LAngG,479_FED_20161228d_3T2_PL2017,1.000000
LAngG,522_FED_20161228e_3T2_PL2017,1.000000
LAngG,516_FED_20161217a_3T2_PL2017,1.000000
LAngG,426_FED_20161215c_3T2_PL2017,1.000000
