ROI,Effect,MeanEffect,StdEffect,StderrEffect
LIFGorb,SameAll,0.032042,0.859154,0.384225
LIFGorb,SameMan,-0.370083,0.669767,0.299529
LIFGorb,SamePath,0.093022,0.180751,0.080834
LIFGorb,SameAg,0.020465,0.581783,0.260181
LIFGorb,DiffAll,-0.385672,0.421216,0.188374
LIFGorb,Cont,-0.320383,0.836092,0.373912
LIFGorb,DiffAll-Cont,-0.065288,0.732614,0.327635
LIFGorb,SameMan-Cont,-0.049700,0.865254,0.386953
LIFGorb,SamePath-Cont,0.413405,0.908948,0.406494
LIFGorb,SameAg-Cont,0.340848,1.056318,0.472400
LIFGorb,SameAll-Cont,0.352426,0.955839,0.427464
LIFGorb,All-Cont,0.198338,0.840431,0.375852
LIFGorb,DiffAll-SameAll,-0.417714,0.520875,0.232942
LIFGorb,DiffAll-SameMan,-0.015589,0.310982,0.139075
LIFGorb,DiffAll-SamePath,-0.478693,0.419615,0.187658
LIFGorb,DiffAll-SameAg,-0.406137,0.404893,0.181074
LIFGorb,SameMan-SameAll,-0.402125,0.579389,0.259111
LIFGorb,SamePath-SameAll,0.060979,0.887479,0.396893
LIFGorb,SameAg-SameAll,-0.011577,0.424838,0.189993
LIFG,SameAll,0.014842,0.506223,0.226390
LIFG,SameMan,-0.517386,0.433009,0.193648
LIFG,SamePath,0.025743,0.434686,0.194397
LIFG,SameAg,0.239947,0.448781,0.200701
LIFG,DiffAll,-0.195927,0.610493,0.273021
LIFG,Cont,0.036064,0.987303,0.441535
LIFG,DiffAll-Cont,-0.231991,0.805114,0.360058
LIFG,SameMan-Cont,-0.553450,1.387750,0.620620
LIFG,SamePath-Cont,-0.010321,1.190296,0.532317
LIFG,SameAg-Cont,0.203882,1.336120,0.597531
LIFG,SameAll-Cont,-0.021222,1.051805,0.470381
LIFG,All-Cont,-0.122620,1.126616,0.503838
LIFG,DiffAll-SameAll,-0.210769,0.438174,0.195957
LIFG,DiffAll-SameMan,0.321459,0.846649,0.378633
LIFG,DiffAll-SamePath,-0.221670,0.493772,0.220821
LIFG,DiffAll-SameAg,-0.435874,0.756231,0.338197
LIFG,SameMan-SameAll,-0.532227,0.572150,0.255873
LIFG,SamePath-SameAll,0.010901,0.338502,0.151383
LIFG,SameAg-SameAll,0.225105,0.426891,0.190911
LMFG,SameAll,-0.039736,0.298655,0.133562
LMFG,SameMan,-0.360176,0.378076,0.169081
LMFG,SamePath,-0.019105,0.500381,0.223777
LMFG,SameAg,0.433384,0.301741,0.134943
