ROI,Subject,Session/Partition,LocalizerSize
LIFGorb,334_FED_20151119a_3T2_PL2017,1,37
LIFGorb,334_FED_20151119a_3T2_PL2017,2,37
LIFGorb,479_FED_20161104a_3T2_PL2017,1,37
LIFGorb,479_FED_20161104a_3T2_PL2017,2,37
LIFGorb,522_FED_20161228e_3T2_PL2017,1,37
LIFGorb,522_FED_20161228e_3T2_PL2017,2,37
LIFGorb,516_FED_20161217a_3T2_PL2017,1,37
LIFGorb,516_FED_20161217a_3T2_PL2017,2,37
LIFGorb,426_FED_20160908d_3T1_PL2017,1,37
LIFGorb,426_FED_20160908d_3T1_PL2017,2,37
LIFG,334_FED_20151119a_3T2_PL2017,1,74
LIFG,334_FED_20151119a_3T2_PL2017,2,74
LIFG,479_FED_20161104a_3T2_PL2017,1,74
LIFG,479_FED_20161104a_3T2_PL2017,2,74
LIFG,522_FED_20161228e_3T2_PL2017,1,74
LIFG,522_FED_20161228e_3T2_PL2017,2,74
LIFG,516_FED_20161217a_3T2_PL2017,1,74
LIFG,516_FED_20161217a_3T2_PL2017,2,74
LIFG,426_FED_20160908d_3T1_PL2017,1,74
LIFG,426_FED_20160908d_3T1_PL2017,2,74
LMFG,334_FED_20151119a_3T2_PL2017,1,46
LMFG,334_FED_20151119a_3T2_PL2017,2,46
LMFG,479_FED_20161104a_3T2_PL2017,1,46
LMFG,479_FED_20161104a_3T2_PL2017,2,46
LMFG,522_FED_20161228e_3T2_PL2017,1,46
LMFG,522_FED_20161228e_3T2_PL2017,2,46
LMFG,516_FED_20161217a_3T2_PL2017,1,46
LMFG,516_FED_20161217a_3T2_PL2017,2,46
LMFG,426_FED_20160908d_3T1_PL2017,1,46
LMFG,426_FED_20160908d_3T1_PL2017,2,46
LAntTemp,334_FED_20151119a_3T2_PL2017,1,162
LAntTemp,334_FED_20151119a_3T2_PL2017,2,162
LAntTemp,479_FED_20161104a_3T2_PL2017,1,162
LAntTemp,479_FED_20161104a_3T2_PL2017,2,162
LAntTemp,522_FED_20161228e_3T2_PL2017,1,162
LAntTemp,522_FED_20161228e_3T2_PL2017,2,162
LAntTemp,516_FED_20161217a_3T2_PL2017,1,162
LAntTemp,516_FED_20161217a_3T2_PL2017,2,162
LAntTemp,426_FED_20160908d_3T1_PL2017,1,162
LAntTemp,426_FED_20160908d_3T1_PL2017,2,162
LPostTemp,334_FED_20151119a_3T2_PL2017,1,294
LPostTemp,334_FED_20151119a_3T2_PL2017,2,294
LPostTemp,479_FED_20161104a_3T2_PL2017,1,294
LPostTemp,479_FED_20161104a_3T2_PL2017,2,294
LPostTemp,522_FED_20161228e_3T2_PL2017,1,294
LPostTemp,522_FED_20161228e_3T2_PL2017,2,294
LPostTemp,516_FED_20161217a_3T2_PL2017,1,294
LPostTemp,516_FED_20161217a_3T2_PL2017,2,294
LPostTemp,426_FED_20160908d_3T1_PL2017,1,294
LPostTemp,426_FED_20160908d_3T1_PL2017,2,294
LAngG,334_FED_20151119a_3T2_PL2017,1,64
LAngG,334_FED_20151119a_3T2_PL2017,2,64
LAngG,479_FED_20161104a_3T2_PL2017,1,64
LAngG,479_FED_20161104a_3T2_PL2017,2,64
LAngG,522_FED_20161228e_3T2_PL2017,1,64
LAngG,522_FED_20161228e_3T2_PL2017,2,64
LAngG,516_FED_20161217a_3T2_PL2017,1,64
LAngG,516_FED_20161217a_3T2_PL2017,2,64
LAngG,426_FED_20160908d_3T1_PL2017,1,64
LAngG,426_FED_20160908d_3T1_PL2017,2,64
