ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.042667,0.108199,-0.394334,5.000000,0.645204,0.822773
2,1399,139,1.000000,0.107728,0.127774,0.843108,5.000000,0.218815,0.815795
3,4863,486,1.000000,-0.005747,0.247677,-0.023204,5.000000,0.508807,0.815795
4,5104,510,1.000000,0.045054,0.233689,0.192795,5.000000,0.427353,0.815795
5,888,88,1.000000,0.130740,0.364576,0.358608,5.000000,0.367266,0.815795
6,1015,101,1.000000,0.167790,0.207947,0.806888,5.000000,0.228191,0.815795
7,3526,352,1.000000,-0.191712,0.111036,-1.726576,5.000000,0.927585,0.927585
8,3381,338,1.000000,-0.101201,0.172908,-0.585287,5.000000,0.708114,0.822773
9,1858,185,1.000000,0.127875,0.267766,0.477563,5.000000,0.326554,0.815795
10,1770,177,1.000000,0.293565,0.381031,0.770448,5.000000,0.237921,0.815795
11,2147,214,1.000000,-0.150859,0.182407,-0.827046,5.000000,0.777064,0.822773
12,2371,237,1.000000,-0.001161,0.169616,-0.006844,5.000000,0.502598,0.815795
13,2447,244,1.000000,-0.021068,0.181838,-0.115859,5.000000,0.543863,0.815795
14,1345,134,1.000000,0.069035,0.211072,0.327067,5.000000,0.378433,0.815795
15,2065,206,1.000000,-0.077077,0.306656,-0.251348,5.000000,0.594226,0.822773
16,2222,222,1.000000,-0.163492,0.218597,-0.747915,5.000000,0.755912,0.822773
17,1615,161,1.000000,0.169598,0.356611,0.475582,5.000000,0.327212,0.815795
18,1958,195,1.000000,0.243905,0.414308,0.588705,5.000000,0.290824,0.815795
